experiment_id,cohort,method_id,seed,evaluation_mode,horizon_hours,feature_group,rmse,mae,observed_cells,lineage,component_definition
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,36,overall,1.0066469765206074,0.7361013859143047,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,40,overall,1.0223337097128158,0.757379474169463,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,44,overall,1.0385277107727358,0.7789218734420983,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,4,overall,0.8112217502068602,0.5638679537460797,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,8,overall,0.8305925374900356,0.5822501327234343,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,12,overall,0.8685033627174753,0.6194461514594195,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,16,overall,0.8754707650847107,0.6436470199358202,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,20,overall,0.9099920419187008,0.6585472663368311,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,24,overall,0.909853228605646,0.6747943938094075,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,28,overall,0.9541262633636456,0.6950111494618324,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,32,overall,0.9770505032094826,0.7138416498415274,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,36,overall,0.9921787283125671,0.7354575761428969,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,40,overall,1.0128450370078002,0.7623544887580446,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3414,logged_action_recursive,44,overall,1.031661211087144,0.7825293881419333,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,4,overall,0.8104860348856858,0.5588155263290114,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,8,overall,0.8459114317537884,0.5940367003521473,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,12,overall,0.9209811837871276,0.6705291945389644,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,16,overall,0.9865386691139034,0.7441068822441145,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,20,overall,1.09657698485093,0.8318462855266012,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,24,overall,1.1763359404844902,0.9110414581233728,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,28,overall,1.307196499778459,1.0083962044096335,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,32,overall,1.4277415289343958,1.1017212865008963,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,36,overall,1.5602380888662228,1.210492554590206,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,40,overall,1.683918742261315,1.316817957322899,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3408,logged_action_recursive,44,overall,1.8386291604090224,1.4279683934246648,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,4,overall,0.8117463603155743,0.559100221676525,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,8,overall,0.8477899878663091,0.5910364323146439,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,12,overall,0.925301934250874,0.6675210662816846,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,16,overall,0.9894223182015764,0.7444994222065608,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,20,overall,1.100326090234287,0.8376774405096167,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,24,overall,1.1974590124999511,0.9410083256556718,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,28,overall,1.3304188822755625,1.049615576899544,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,transformer_world_model,3411,logged_action_recursive,32,overall,1.457097976604018,1.1649141739538522,23922,KDD097/KDD098R unchanged,P next-state dynamics
